Company Name,Brand,Website,CIF (Fiscal Number in Spain),Phone number,Company email,Industry,Contacts,Contact's Title,Linkedin,Facebook,Twitter,Instagram,City,Facturacion,Empleados
,INFORMÁTICA 2002MHZ,,,,,,,,,,,,,,
,(INTROSOFT) TECNOLOGIA INFORMATICA,,,,,,,,,,,,,,
,(VS)VERSUS,,,,,,,,,,,,,,
,...CÓMO TE QUEDAS!,,,,,,,,,,,,,,
,.CLUB HÍPIC CIUTADELLA,,,,,,,,,,,,,,
,ZURCIDORA Y TEJEDORA ANA & MARIA,,,,,,,,,,,,,,
,[G/8] GYM & PADEL,,,,,,,,,,,,,,
,¡EL MEJOR COCHIFRITO!,,,,,,,,,,,,,,
,¡HOLA!,,,,,,,,,,,,,,
,¡HOLA!,,,,,,,,,,,,,,
,ALTEX EUROPA,,,,,,,,,,,,,,
,CALIDIS GROUPE,,,,,,,,,,,,,,
,¡YA TE DIGO! KARAOKE,,,,,,,,,,,,,,
,¿POR QUE TEATRO?,,,,,,,,,,,,,,
,¿QUIEN TE LO DIJO…?,,,,,,,,,,,,,,
,¿Y SI VIAJAS?,,,,,,,,,,,,,,
,¿Y SI VIAJAS?,,,,,,,,,,,,,,
,”PALO ZAPATOS,,,,,,,,,,,,,,
,”PTICA GERMÁN,,,,,,,,,,,,,,
,”PTICA LINE,,,,,,,,,,,,,,
,”PTICAS HERRERO,,,,,,,,,,,,,,
,#ERROR!,,,,,,,,,,,,,,
,°QUÉ APROVECHE! COCINADOS,,,,,,,,,,,,,,
,0 DE FLORES,,,,,,,,,,,,,,
,0% VELLO,,,,,,,,,,,,,,
,CONCENTRADOS PALLEJA SL,,,,,,,,,,,,,,
,01 INFORMÁTICA Y GESTION,,,,,,,,,,,,,,
,014 MEDIA,,,,,,,,,,,,,,
,ICEFRUT,,,,,,,,,,,,,,
,05 ESTUDIO,,,,,,,,,,,,,,
,07 GLOBALAN,,,,,,,,,,,,,,
,INDULLERIDA,,,,,,,,,,,,,,
,1 2 3 Y A BAILAR,,,,,,,,,,,,,,
,1 AEIMG,,,,,,,,,,,,,,
,INFRUSESA,,,,,,,,,,,,,,
,1 REPARACION ELECTRODOMESTICOS,,,,,,,,,,,,,,
,1 TAPIZA,,,,,,,,,,,,,,
,1 TO 1 LANGUAGES,,,,,,,,,,,,,,
,1 VIATGES,,,,,,,,,,,,,,
,1&1,,,,,,,,,,,,,,
,"1,2,3 EL ESCONDITE INGLÉS",,,,,,,,,,,,,,
,1. EUROPÄISCHE GOLFSCHULE MALLORCA,,,,,,,,,,,,,,
,10 AZAFATAS,,,,,,,,,,,,,,
,10 DE 10 INSTALADORES,,,,,,,,,,,,,,
,MOLEVA,,,,,,,,,,,,,,
,10 H,,,,,,,,,,,,,,
,10 MET PRESS,,,,,,,,,,,,,,
,PAGO FRUCHTSAFTE,,,,,,,,,,,,,,
