Company Name,Brand,Website,CIF (Fiscal Number in Spain),Phone number,Company email,Industry,Contacts,Contact's Title,Linkedin,Facebook,Twitter,Instagram,City,Facturacion,Empleados
ELIS MANOMATIC SA,,,,,,,,,,,,,,,
EMILIO VEINTIMILLA S L,,,,,,,,,,,,,,,
ENCUENTRA SERVICIOS EMPRESARIALES SL,,,,,,,,,,,,,,,
ENDOTERAPIA VEGETAL S L,,,,,,,,,,,,,,,
ENERGIA VALENCIANA SL,,,,,,,,,,,,,,,
EOC24 ARQUITECTURA Y CONSTRUCCIONES S L,,,,,,,,,,,,,,,
EQUIPAMIENTO DE HOSTELERIA Y CLIMATIZACION VALLADOLID S L,,,,,,,,,,,,,,,
ERGO ESPACIO SLU,,,,,,,,,,,,,,,
ESPECIALISTAS EN CONTROL DE GAVIOTAS Y OTRAS AVES SL,,,,,,,,,,,,,,,
ESQUEIRO S L,,,,,,,,,,,,,,,
ESTEL SAFETY SL,,,,,,,,,,,,,,,
ESTHER JUAREZ MORALES,,,,,,,,,,,,,,,
ESTILUZ S A,,,,,,,,,,,,,,,
ETICAS RESEARCH CONSULTING S L,,,,,,,,,,,,,,,
EURO RKM S L,,,,,,,,,,,,,,,
EUROFINS LABORATORIO MEDICANTACRIA SL,,,,,,,,,,,,,,,
EUROPEAN COMMISSION JOINT RESEARCH CENTRE JRC,,,,,,,,,,,,,,,
EUROVISION ITALY S R L,,,,,,,,,,,,,,,
EWA EISENWERK ARNSTADT GMBH,,,,,,,,,,,,,,,
EXTREMENA DE GESTION SANITARIA Y ESPECIALIDADES MEDICAS SLU,,,,,,,,,,,,,,,
EZSA SANIDAD AMBIENTAL S,,,,,,,,,,,,,,,
FARANDALUS S L,,,,,,,,,,,,,,,
FARMACIA INTERNACIONAL NAIMA BENALI,,,,,,,,,,,,,,,
FARMACIA JOSE MANUEL FARRANDO,,,,,,,,,,,,,,,
FEPAMIC,,,,,,,,,,,,,,,
FERMON INDIS S L,,,,,,,,,,,,,,,
FERNANDO MORENO PEREZ,,,,,,,,,,,,,,,
FERRETERIA USTRELL HOSPITALET SL,,,,,,,,,,,,,,,
FERRRER OJEDA ASOCIADOS CORREDURIA DE SEGUROS SL,,,,,,,,,,,,,,,
FETRA PANART S L,,,,,,,,,,,,,,,
FINQUES LA TRAPA SL,,,,,,,,,,,,,,,
FLYHARD PRODUCCIONS SL,,,,,,,,,,,,,,,
FONTACO SL,,,,,,,,,,,,,,,
FORREC LTD,,,,,,,,,,,,,,,
FRANCISCO GABRIEL ROIZO CRESPO,,,,,,,,,,,,,,,
FRANCISCO GRANADOS EXTREMERA,,,,,,,,,,,,,,,
FRANCISCO JAVIER MONFERRER CUBEDO,,,,,,,,,,,,,,,
FRANCISCO JOSE CATALAN JULIAN,,,,,,,,,,,,,,,
FRANCISCO SOLA MOLIST,,,,,,,,,,,,,,,
FRUTICOLAS ATECA S L,,,,,,,,,,,,,,,
G H PUERTAS METALICAS Y AUTOMATISMOS,,,,,,,,,,,,,,,
GADITANA DE ASFALTOS SA,,,,,,,,,,,,,,,
GAFISA BARCELONA AUDITORS SLP,,,,,,,,,,,,,,,
GANADERIA Y MASCOTAS DEL SUR S L,,,,,,,,,,,,,,,
GARBIALDI S A,,,,,,,,,,,,,,,
GARCIA RODRIGUEZ 2006 S L,,,,,,,,,,,,,,,
GARVI ZARAGOZA S L,,,,,,,,,,,,,,,
GASQUE FUSTERIA S L,,,,,,,,,,,,,,,
GEA PROCESS ENGINEERING NV,,,,,,,,,,,,,,,
GERMAN WALTER GOMEZ ROCHA,,,,,,,,,,,,,,,
GFK EMER AD HOC RESEARCH S L,,,,,,,,,,,,,,,
GIRALDA CARS DEALER S L,,,,,,,,,,,,,,,
GIRO FUSTA S L,,,,,,,,,,,,,,,
GLOBAL SOURCING ACTIVITIES,,,,,,,,,,,,,,,
GONZALO CANTOS MATEOS Y PATRICIA HIGUERA MIGUELEZ,,,,,,,,,,,,,,,
GRAVIS MUNTATGES ESCENOGRAFICS SLU,,,,,,,,,,,,,,,
GRUAS DAVID TARRAGONA SA,,,,,,,,,,,,,,,
GRUPO GARGALLO,,,,,,,,,,,,,,,
GRUPO GRETERIKA IMPORTEXPORT SL,,,,,,,,,,,,,,,
GRUPO JR 2014 CENTRO MULTIDISCIPLINAR S L,,,,,,,,,,,,,,,
GRUPO LIMPIATIN S L L,,,,,,,,,,,,,,,
GRUPO MARINO OBRAS Y SERVICIOS SL,,,,,,,,,,,,,,,
GSVIAL OBRAS Y PISTAS S L,,,,,,,,,,,,,,,
GYDESUR S L,,,,,,,,,,,,,,,
HALLYU MOTORS,,,,,,,,,,,,,,,
HAVAS MEDIA GROUP LEVANTE SLU,,,,,,,,,,,,,,,
HECTOR DANIEL TORRES MATEO,,,,,,,,,,,,,,,
HEINRICH KONIG IBERICA S L,,,,,,,,,,,,,,,
HERAEUS NOBLELIGHT ANALYTICS,,,,,,,,,,,,,,,
HERMANOS ALUM SL,,,,,,,,,,,,,,,
HERMANOS FRANCISCANOS CRUZ BLANCA,,,,,,,,,,,,,,,
HIDROBAL S A,,,,,,,,,,,,,,,
HIFAVER S L,,,,,,,,,,,,,,,
HILATURAS TEMPRADO,,,,,,,,,,,,,,,
HILOS Y COSTURAS S L,,,,,,,,,,,,,,,
HIPERLIMP LEVANTE S L,,,,,,,,,,,,,,,
HNOS GARCIA MOLINERO S L,,,,,,,,,,,,,,,
HOPLA SOFTWARE S L,,,,,,,,,,,,,,,
IBA GMBH,,,,,,,,,,,,,,,
IBIAE ASOCIACON DE EMPRESARIOS FOIA DE CASTALLA,,,,,,,,,,,,,,,
IDAT INGENIERIA DE DESARROLLOS DE ALTA TECNOLOGIA SL,,,,,,,,,,,,,,,
IDT INTEGRATED DNA TECHNOLOGIES,,,,,,,,,,,,,,,
IGNACIO ADRIAN RAMOS LOPEZ,,,,,,,,,,,,,,,
IKM INNOVACIONES QUIMICAS S L,,,,,,,,,,,,,,,
ILUNION LIMPIEZA Y MEDIO AMBIENTE S A,,,,,,,,,,,,,,,
IMPACTO PROYECTO DE OFICINA SL,,,,,,,,,,,,,,,
IMPORTEXPORT ERSA SL,,,,,,,,,,,,,,,
IN2IN SOLUCIONS TECNOLOGIQUES SL,,,,,,,,,,,,,,,
INDALECIO LEONSEGUI QUINTERO,,,,,,,,,,,,,,,
INDEMECAR S L,,,,,,,,,,,,,,,
INDUSTRIAS ELECTRICA HERGOROS S L,,,,,,,,,,,,,,,
INDUSTRIAS PLASTICAS ORENSANAS S L,,,,,,,,,,,,,,,
INFORDISA S A,,,,,,,,,,,,,,,
INNAT CONSULTING SA,,,,,,,,,,,,,,,
INNJOO TECHNOLOGY S L,,,,,,,,,,,,,,,
INSAE INFRAESTRUCTURAS SA  MARCO INFRA MED AMBIEN SA  INDUTEC INSTALACIONES SA,,,,,,,,,,,,,,,
INSAVI EQUIPAMIENTOS AVICOLAS S L,,,,,,,,,,,,,,,
INSTAL LADORA TECNICA GIRONINA 2020 SL,,,,,,,,,,,,,,,
INSTALACIONES INDUSTRIALES ININ S L,,,,,,,,,,,,,,,
INSTALVERDE S L,,,,,,,,,,,,,,,
INTEGRAL DE PLAGAS S L,,,,,,,,,,,,,,,
INVEST DIGITAL PROJECT SL,,,,,,,,,,,,,,,
ISOCONTROL SL,,,,,,,,,,,,,,,
ISOLABEL S A BELISOL,,,,,,,,,,,,,,,
ISOTPX LIMITED,,,,,,,,,,,,,,,
IVAN IVANOV,,,,,,,,,,,,,,,
J3 SERVICCE 1999 S L,,,,,,,,,,,,,,,
JAVIER ANDRES ZAMORA ALAMAYONA,,,,,,,,,,,,,,,
JBM CAMPLLONG S L,,,,,,,,,,,,,,,
JMP INTELYTEMP 2004 SL,,,,,,,,,,,,,,,
JOEL R MORA MIQUEL,,,,,,,,,,,,,,,
JOSE ANTONIO LOPEZ GOMEZ,,,,,,,,,,,,,,,
JOSE BLAS GARRIDO LAPUENTE S L,,,,,,,,,,,,,,,
JOSE MAETOS MULA,,,,,,,,,,,,,,,
JOSEP MANEL BUJAN ANDREU,,,,,,,,,,,,,,,
JT HIRING EMPRESA DE TRABAJO TEMPORAL S L,,,,,,,,,,,,,,,
JUAN JOSE GONZALEZ GEREZ,,,,,,,,,,,,,,,
JUAN JOSE SOLA RICCA S A U,,,,,,,,,,,,,,,
JUAN M ROMERO MUNOZ FARMACIA ORTOPEDIA BENALMADENA,,,,,,,,,,,,,,,
JUAN MANUEL MOLINA GARCIA,,,,,,,,,,,,,,,
JUAN VICENTE TORRES ALEGRIA,,,,,,,,,,,,,,,
JURISWEB INTERACTIVA S L,,,,,,,,,,,,,,,
KATECH TRADING LIMITED,,,,,,,,,,,,,,,
KILOENERGIA GRUPS ELECTROGENS I SERVEIS S L,,,,,,,,,,,,,,,
KLINER PROFESIONAL SA,,,,,,,,,,,,,,,
KOMTUR PHARMACEUTICALS,,,,,,,,,,,,,,,
L2 PAVIMENTOS SL,,,,,,,,,,,,,,,
LA BATEA CHURRIANERA S L,,,,,,,,,,,,,,,
LA BONITA SCC,,,,,,,,,,,,,,,
LA HUELLA DE WONDER,,,,,,,,,,,,,,,
LABORATOIRE D ETALONS D ACTIVITE,,,,,,,,,,,,,,,
LABORATORIOS ANALITICOS AGROBET S L,,,,,,,,,,,,,,,
LAURA ESCRIBANO MAYALS,,,,,,,,,,,,,,,
LICUAS S A,,,,,,,,,,,,,,,
LIMP TRES SL,,,,,,,,,,,,,,,
LINDE GAS ESPANA S A U,,,,,,,,,,,,,,,
LISANIA SERVICIOS LINGUISTICOS S L,,,,,,,,,,,,,,,
LOBBYING GOVERNMENT RELATIONS PUBLIC AFFAIRS S L,,,,,,,,,,,,,,,
LOCUS AVIS SL,,,,,,,,,,,,,,,
LOS BILLARES CATERING S L,,,,,,,,,,,,,,,
LUIS ALBERTO BLANCO FERNANDEZ,,,,,,,,,,,,,,,
LUIS DE DIEGO,,,,,,,,,,,,,,,
MAGNUS PROTECT SLU,,,,,,,,,,,,,,,
MANUEL SALADO LUQUE,,,,,,,,,,,,,,,
MANUFACTURAS MOYA,,,,,,,,,,,,,,,
MAR FERNANDEZ GARCIA,,,,,,,,,,,,,,,
MARCELI Y JUANITO S L,,,,,,,,,,,,,,,
MARI MONTANANA,,,,,,,,,,,,,,,
MARIA AMPARO CARNEVALI SANTIGOSA M MATAS REPLAC,,,,,,,,,,,,,,,
MARIA JESUS CIUDAD PEREZ DE COLOSIA,,,,,,,,,,,,,,,
MARIA JOSE POSADO RIVERA,,,,,,,,,,,,,,,
MARIA JOSE SERRANO MORENO,,,,,,,,,,,,,,,
MARTIN MARTIN ABASTECIMIENTOS DE AGUA POTABLE S L,,,,,,,,,,,,,,,
MARTIN VILLA ANA,,,,,,,,,,,,,,,
MARTIPAL S L,,,,,,,,,,,,,,,
MASTERKEY INFORMATICA S L,,,,,,,,,,,,,,,
MERVILAB S A,,,,,,,,,,,,,,,
MGN TRANSFORM DEL CAUCHO S A,,,,,,,,,,,,,,,
MICROTOOLS SISTEMAS INFORMATICOS S A,,,,,,,,,,,,,,,
MIGUEL ANGEL ANTON BRAVO,,,,,,,,,,,,,,,
MIGUEL MUNOZ PEREZ,,,,,,,,,,,,,,,
MITELEC INSTALACIONES S L,,,,,,,,,,,,,,,
MITSUBISHI ELECTRIC EUROPE B V ES,,,,,,,,,,,,,,,
MONTSERRAT GARCIA MARQUEZ,,,,,,,,,,,,,,,
MORAYMA FUENTE VICTORIA SL,,,,,,,,,,,,,,,
MOTOR ARCOS S L,,,,,,,,,,,,,,,
MOUNTAIN OF WINTER SL,,,,,,,,,,,,,,,
MUNDO VERDE RECYCLING S L,,,,,,,,,,,,,,,
NACRUX SLU,,,,,,,,,,,,,,,
NANOANDMORE GMBH,,,,,,,,,,,,,,,
NAUS DE BASALU,,,,,,,,,,,,,,,
NAZARET VILLEGAS HERRERA,,,,,,,,,,,,,,,
ND MOBILIARIO Y EQUIPAMIENTO INTEGRAL S L,,,,,,,,,,,,,,,
NEOLASER S L,,,,,,,,,,,,,,,
NEWLOG NUEVA LOGICA DE LOS NEGOCIOS IT S L,,,,,,,,,,,,,,,
NIKKISO BELGIUM BVBA,,,,,,,,,,,,,,,
NOBLE EDIFICACIONES HISPANICAS S L,,,,,,,,,,,,,,,
NZYTECH LDA,,,,,,,,,,,,,,,
OBRAS Y SERVICIOS PUBLICOS S A,,,,,,,,,,,,,,,
OF SERVICE BTP S L,,,,,,,,,,,,,,,
OFTALVISTCIO JEREZ S L,,,,,,,,,,,,,,,
OKATENT S L,,,,,,,,,,,,,,,
OLEGARIO ESTRADA SL,,,,,,,,,,,,,,,
ONE MILLION BOT S L,,,,,,,,,,,,,,,
OPTA CONSULTORES S L,,,,,,,,,,,,,,,
ORL GUIPUZCOA,,,,,,,,,,,,,,,
OSCA MEDICAL S L,,,,,,,,,,,,,,,
OSIMPLANT DIVISION ESPANA SL,,,,,,,,,,,,,,,
PACK BLISTER,,,,,,,,,,,,,,,
PALACIO DE CONGRESOS DE VALENCIA,,,,,,,,,,,,,,,
PASCH Y CIA S A U,,,,,,,,,,,,,,,
PC COMPONENTES Y MULTIMEDIA S L,,,,,,,,,,,,,,,
PCNET GRUP S L,,,,,,,,,,,,,,,
